"Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Days Old","Total Citations","Total Citations Per Day","Citations CrossRef Per Day","Citations PubMed Per Day","Citations Scopus Per Day","HTML Page Views Per Day","XML Downloads Per Day","PDF Downloads Per Day","Combined Downloads Per Day","Blog Postgenomic Per Day","Blog Nature Per Day","Blog Bloglines Per Day","Number of Trackbacks Per Day","Social Bookmarking – CiteULike Per Day","Social Bookmarking – Connotea Per Day","Number of Ratings Per Day",,"Number of Note threads Per Day","Number of replies to Notes Per Day","Number of Comment threads Per Day","Number of 'Star Ratings' that also include a text comment Per Day"
10/13/03,2003,"PLoS Biology","RA","A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences",2199,33,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
11/17/03,2003,"PLoS Biology","RA","Viral Discovery and Sequence Recovery Using DNA Microarrays",2164,187,0.09,0.02,0.02,0.05,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.09
11/17/03,2003,"PLoS Biology","non RA","Gene Chip for Viral Discovery",2164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","Functional Analysis of RSS Spacers",2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
08/18/03,2003,"PLoS Biology","RA","The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum",2255,610,0.27,0.04,0.05,0.18,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.27
08/18/03,2003,"PLoS Biology","RA","DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation",2255,20,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
08/18/03,2003,"PLoS Biology","non RA","Borneo Elephants: A High Priority for Conservation",2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","Genetically Modified Corn? Environmental Benefits and Risks",2199,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","Out of the Way",2199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","RA","The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway",2199,176,0.08,0.01,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.08
08/18/03,2003,"PLoS Biology","non RA","Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells",2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","RA","Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions",2199,316,0.14,0.02,0.03,0.09,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.14
09/15/03,2003,"PLoS Biology","RA","Drosophila Free-Running Rhythms Require Intercellular Communication",2227,129,0.06,0.01,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.06
10/13/03,2003,"PLoS Biology","non RA","Heterochromatin Dynamics",2199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","Microarray Analysis",2199,16,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/13/03,2003,"PLoS Biology","non RA","V(D)J Recombination and the Evolution of the Adaptive Immune System",2199,13,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/13/03,2003,"PLoS Biology","non RA","Neuroscience Networks",2199,36,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
10/13/03,2003,"PLoS Biology","non RA","Digital Evolution",2199,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
09/15/03,2003,"PLoS Biology","RA","From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the ?-Proteobacteria",2227,216,0.1,0.01,0.02,0.06,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.1
10/13/03,2003,"PLoS Biology","RA","Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action",2199,179,0.08,0.02,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.08
10/13/03,2003,"PLoS Biology","RA","Developmental Origin and Evolution of Bacteriocytes in the Aphid?Buchnera Symbiosis",2199,52,0.02,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
11/17/03,2003,"PLoS Biology","non RA","Beyond the Fire-Hazard Mentality of Medicine: The Ecology of Infectious Diseases",2164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
09/15/03,2003,"PLoS Biology","non RA","Biological Clock Depends on Many Parts Working Together",2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","Developmental Origins and Evolution of Buchnera Host Cells",2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","RA","A Gain-Field Encoding of Limb Position and Velocity in the Internal Model of Arm Dynamics",2164,42,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
10/13/03,2003,"PLoS Biology","non RA","Supersensitive Worms Reveal New Gene Functions",2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","What Controls Variation in Human Skin Color?",2199,47,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
11/17/03,2003,"PLoS Biology","RA","Partially Phosphorylated Pho4 Activates Transcription of a Subset of Phosphate-Responsive Genes",2164,49,0.02,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
12/22/03,2003,"PLoS Biology","non RA","Structural Mechanism Shows How Transferrin Receptor Binds Multiple Ligands and Sheds Light on a Hereditary Iron Disease",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","Large-Scale Association Study Confirms Genetic Complexity Underlying Type 2 Diabetes",2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
09/15/03,2003,"PLoS Biology","non RA","New Genomic Approach Predicts True Evolutionary History of Bacterial Genomes",2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","Mathematical Modeling Predicts How Proteins Affect Cellular Communication",2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","RA","Biochemical Characterization of DNA Damage Checkpoint Complexes: Clamp Loader and Clamp Complexes with Specificity for 5? Recessed DNA",2164,166,0.08,0.01,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.08
10/13/03,2003,"PLoS Biology","non RA","PLoS Biology?We're Open",2199,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","RA","The Drosophila Sterile-20 Kinase Slik Controls Cell Proliferation and Apoptosis during Imaginal Disc Development",2164,21,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
10/13/03,2003,"PLoS Biology","non RA","Why PLoS Became a Publisher",2199,40,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
11/17/03,2003,"PLoS Biology","non RA","Army Ants Trapped by Their Evolutionary History",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Patricia Goldman-Rakic",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Genomics Research and Malaria Control: Great Expectations",2164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","A Field Trip to the Mesozoic",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","RA","Embryonic Origins of a Motor System: Motor Dendrites Form a Myotopic Map in Drosophila",2164,33,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
10/13/03,2003,"PLoS Biology","RA","Learning to Control a Brain?Machine Interface for Reaching and Grasping by Primates",2199,336,0.15,0.03,0.01,0.12,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.15
11/17/03,2003,"PLoS Biology","non RA","slik Gene Controls Cell Growth and Survival",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Newly Sequenced Worm a Boon for Worm Biologists",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","RA","The Genome Sequence of Caenorhabditis briggsae: A Platform for Comparative Genomics",2164,513,0.24,0.03,0.06,0.15,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.24
11/17/03,2003,"PLoS Biology","non RA","Biodiversity Conservation Demands Open Access",2164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","A Single Protein in Yeast Can Fine-Tune an Environmental Response",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Tough Mining",2164,16,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
12/22/03,2003,"PLoS Biology","non RA","A Wingless Flight",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Current Approaches to the Study of Movement Control",2164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","RA","Mechanism for Multiple Ligand Recognition by the Human Transferrin Receptor",2129,49,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
11/17/03,2003,"PLoS Biology","RA","Additive Effects of PDGF Receptor ? Signaling Pathways in Vascular Smooth Muscle Cell Development",2164,37,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
11/17/03,2003,"PLoS Biology","RA","T Cell Receptor-Independent Basal Signaling via Erk and Abl Kinases Suppresses RAG Gene Expression",2164,57,0.03,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03
11/17/03,2003,"PLoS Biology","non RA","Novel ?Checkpoint? Mechanism Mediates DNA Damage Responses",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
10/13/03,2003,"PLoS Biology","non RA","Retraining the Brain to Recover Movement",2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Underlying Principles of Motor System Organization Revealed",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","The What and Whys of DOIs",2164,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Comparative Genomics",2164,103,0.05,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.05
10/27/03,2003,"PLoS Biology","RA","Pten Dose Dictates Cancer Progression in the Prostate",2185,206,0.09,0.02,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.09
10/13/03,2003,"PLoS Biology","RA","Identification of Drosophila MicroRNA Targets",2199,429,0.2,0.04,0.03,0.12,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.2
12/22/03,2003,"PLoS Biology","non RA","New Screen Identifies Elusive MicroRNA Targets",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Development of Vascular Smooth Muscle Cells Depends on Signaling Synergy",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Basal Signaling Suppresses RAG Genes during T Cell Development",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
11/17/03,2003,"PLoS Biology","non RA","Computer Model Predicts How the Brain Controls Limb Dynamics",2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","RA","Detection and Characterizationof Cellular Immune Responses Using Peptide?MHC Microarrays",2129,73,0.03,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.03
12/22/03,2003,"PLoS Biology","non RA","The Virus That Changed My World",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","RA","Distinct Mechanisms Determine Transposon Inheritance and Methylation via Small Interfering RNA and Histone Modification",2129,252,0.12,0.03,0.02,0.07,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.12
11/03/03,2003,"PLoS Biology","RA","GAD2 on Chromosome 10p12 Is a Candidate Gene for Human Obesity",2178,96,0.04,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04
11/03/03,2003,"PLoS Biology","RA","Linkage of Osteoporosis to Chromosome 20p12 and Association to BMP2",2178,160,0.07,0.02,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.07
12/22/03,2003,"PLoS Biology","non RA","Dose of PTEN Gene Drives Progression of Prostate Cancer",2129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","Research Advocacy: Why Every Scientist Should Participate",2129,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","RA","Architecture and Selectivity in Aquaporins: 2.5 ? X-Ray Structure of Aquaporin Z",2129,94,0.04,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.04
12/22/03,2003,"PLoS Biology","non RA","Rose-Tinted Ecology",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","RA","Transcriptome Analysis of Mouse Stem Cells and Early Embryos",2129,130,0.06,0.01,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.06
12/22/03,2003,"PLoS Biology","non RA","Structure of Aquaporin Reveals Mechanism for Transport Selectivity",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","New Microarray Detects Antigen-Specific T Cells and Immune Responses",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","Economy of the Mind",2129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","Antigen-Specific T Cells: Analyses of the Needles in the Haystack",2129,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","How Mammals Acquire and Distribute Iron Needed for Oxygen-Based Metabolism",2129,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","RA","Tre1, a G Protein-Coupled Receptor, Directs Transepithelial Migration of Drosophila Germ Cells",2129,44,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.02
12/22/03,2003,"PLoS Biology","non RA","GAD2 Identified as Candidate Gene for Obesity",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","Human Epigenome Project?Up and Running",2129,17,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
12/22/03,2003,"PLoS Biology","RA","Inhibition of HIF2? Is Sufficient to Suppress pVHL-Defective Tumor Growth",2129,198,0.09,0.02,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.09
12/22/03,2003,"PLoS Biology","non RA","Distinct Mechanisms Control Transposon Inheritance through Overlapping Pathways",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","Chromosome Locus and Candidate Gene for Osteoporosis Identified",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","How Are the Sizes of Cells, Organs, and Bodies Controlled?",2129,16,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.01
12/22/03,2003,"PLoS Biology","non RA","Gene Expression Profile Created for Mouse Stem Cells and Developing Embryo",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","Novel Receptor Guides Germ Cell Transepithelial Migration in Drosophila",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","A Changing Landscape",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","Inhibition of HIF2? Protein Suppresses pVHL-Driven Tumor Growth",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
12/22/03,2003,"PLoS Biology","non RA","Correction: What Controls Variation in Human Skin Color?",2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
